status	key	command
Suggestion	Down	PredictAndConvert
Precomposition	Hankaku/Zenkaku	IMEOff
Precomposition	Shift Space	InsertFullSpace
Precomposition	Space	InsertHalfSpace
Conversion	Backspace	Cancel
Conversion	Delete	Delete
Conversion	Down	SegmentFocusRight
Conversion	ESC	Cancel
Conversion	End	MoveCursorToEnd
Conversion	Enter	Commit
Conversion	F10	ConvertToHalfAlphanumeric
Conversion	F6	ConvertToHiragana
Conversion	F7	ConvertToFullKatakana
Conversion	F8	ConvertToHalfWidth
Conversion	F9	ConvertToFullAlphanumeric
Conversion	Hankaku/Zenkaku	IMEOff
Conversion	Home	MoveCursorToBeginning
Conversion	Left	SegmentWidthShrink
Conversion	PageDown	ConvertNextPage
Conversion	PageUp	ConvertPrevPage
Conversion	Right	SegmentWidthExpand
Conversion	Shift Space	ConvertPrev
Conversion	Shift Tab	ConvertPrevPage
Conversion	Space	ConvertNext
Conversion	Tab	ConvertNextPage
Conversion	Up	ConvertPrev
Composition	Backspace	Backspace
Composition	Delete	Delete
Composition	Down	MoveCursorToEnd
Composition	ESC	Cancel
Composition	End	MoveCursorToEnd
Composition	Enter	Commit
Composition	F10	ConvertToHalfAlphanumeric
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Composition	Hankaku/Zenkaku	IMEOff
Composition	Home	MoveCursorToBeginning
Composition	Left	MoveCursorLeft
Composition	Right	MoveCursorRight
Composition	Space	Convert
Composition	Tab	PredictAndConvert
DirectInput	Eisu	InputModeHiragana
DirectInput	Hankaku/Zenkaku	IMEOn
Composition	ASCII	InsertCharacter
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	ASCII	InsertCharacter
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
