,	、
-	ー
.	。
[	「
]	」
a	あ
ba	ば
bba	っば
bbe	っべ
bbi	っび
bbo	っぼ
bbu	っぶ
bbya	っびゃ
bbye	っびぇ
bbyi	っびぃ
bbyo	っびょ
bbyu	っびゅ
be	べ
bi	び
bo	ぼ
bu	ぶ
bya	びゃ
bye	びぇ
byi	びぃ
byo	びょ
byu	びゅ
ca	か
cca	っか
cce	っせ
ccha	っちゃ
cche	っちぇ
cchi	っち
ccho	っちょ
cchu	っちゅ
cci	っし
cco	っこ
ccu	っく
ccya	っちゃ
ccye	っちぇ
ccyi	っちぃ
ccyo	っちょ
ccyu	っちゅ
ce	せ
cha	ちゃ
che	ちぇ
chi	ち
cho	ちょ
chu	ちゅ
ci	し
co	こ
cu	く
cya	ちゃ
cye	ちぇ
cyi	ちぃ
cyo	ちょ
cyu	ちゅ
da	だ
dda	っだ
dde	っで
ddha	っでゃ
ddhe	っでぇ
ddhi	っでぃ
ddho	っでょ
ddhu	っでゅ
ddi	っぢ
ddo	っど
ddu	っづ
ddwa	っどぁ
ddwe	っどぇ
ddwi	っどぃ
ddwo	っどぉ
ddwu	っどぅ
ddya	っぢゃ
ddye	っぢぇ
ddyi	っぢぃ
ddyo	っぢょ
ddyu	っぢゅ
de	で
dha	でゃ
dhe	でぇ
dhi	でぃ
dho	でょ
dhu	でゅ
di	ぢ
do	ど
du	づ
dwa	どぁ
dwe	どぇ
dwi	どぃ
dwo	どぉ
dwu	どぅ
dya	ぢゃ
dye	ぢぇ
dyi	ぢぃ
dyo	ぢょ
dyu	ぢゅ
e	え
fa	ふぁ
fe	ふぇ
ffa	っふぁ
ffe	っふぇ
ffi	っふぃ
ffo	っふぉ
ffu	っふ
ffya	っふゃ
ffye	っふぇ
ffyi	っふぃ
ffyo	っふょ
ffyu	っふゅ
fi	ふぃ
fo	ふぉ
fu	ふ
fya	ふゃ
fye	ふぇ
fyi	ふぃ
fyo	ふょ
fyu	ふゅ
ga	が
ge	げ
gga	っが
gge	っげ
ggi	っぎ
ggo	っご
ggu	っぐ
ggwa	っぐぁ
ggwe	っぐぇ
ggwi	っぐぃ
ggwo	っぐぉ
ggwu	っぐぅ
ggya	っぎゃ
ggye	っぎぇ
ggyi	っぎぃ
ggyo	っぎょ
ggyu	っぎゅ
gi	ぎ
go	ご
gu	ぐ
gwa	ぐぁ
gwe	ぐぇ
gwi	ぐぃ
gwo	ぐぉ
gwu	ぐぅ
gya	ぎゃ
gye	ぎぇ
gyi	ぎぃ
gyo	ぎょ
gyu	ぎゅ
ha	は
he	へ
hha	っは
hhe	っへ
hhi	っひ
hho	っほ
hhu	っふ
hhwa	っふぁ
hhwe	っふぇ
hhwi	っふぃ
hhwo	っふぉ
hhwyu	っふゅ
hhya	っひゃ
hhye	っひぇ
hhyi	っひぃ
hhyo	っひょ
hhyu	っひゅ
hi	ひ
ho	ほ
hu	ふ
hwa	ふぁ
hwe	ふぇ
hwi	ふぃ
hwo	ふぉ
hwu	ふぅ
hwya	ふゃ
hwye	ふぇ
hwyi	ふぃ
hwyo	ふゅ
hwyu	ふゅ
hya	ひゃ
hye	ひぇ
hyi	ひぃ
hyo	ひょ
hyu	ひゅ
i	い
ja	じゃ
je	じぇ
ji	じ
jja	っじゃ
jje	っじぇ
jji	っじ
jjo	っじょ
jju	っじゅ
jjya	っじゃ
jjye	っじぇ
jjyi	っじぃ
jjyo	っじょ
jjyu	っじゅ
jo	じょ
ju	じゅ
jya	じゃ
jye	じぇ
jyi	じぃ
jyo	じょ
jyu	じゅ
ka	か
ke	け
ki	き
kka	っか
kke	っけ
kki	っき
kko	っこ
kku	っく
kkwa	っくぁ
kkwe	っくぇ
kkwi	っくぃ
kkwo	っくぉ
kkwu	っくぅ
kkya	っきゃ
kkye	っきぇ
kkyi	っきぃ
kkyo	っきょ
kkyu	っきゅ
ko	こ
ku	く
kwa	くぁ
kwe	くぇ
kwi	くぃ
kwo	くぉ
kwu	くぅ
kya	きゃ
kye	きぇ
kyi	きぃ
kyo	きょ
kyu	きゅ
la	ぁ
le	ぇ
li	ぃ
lka	ヵ
lke	ヶ
lla	っぁ
lle	っぇ
lli	っぃ
llka	っヵ
llke	っヶ
llo	っぉ
lltsu	っっ
lltu	っっ
llu	っぅ
llwa	っゎ
llya	っゃ
llye	っぇ
llyi	っぃ
llyo	っょ
llyu	っゅ
lo	ぉ
ltsu	っ
ltu	っ
lu	ぅ
lwa	ゎ
lya	ゃ
lye	ぇ
lyi	ぃ
lyo	ょ
lyu	ゅ
ma	ま
me	め
mi	み
mma	っま
mme	っめ
mmi	っみ
mmo	っも
mmu	っむ
mmya	っみゃ
mmye	っみぇ
mmyi	っみぃ
mmyo	っみょ
mmyu	っみゅ
mo	も
mu	む
mya	みゃ
mye	みぇ
myi	みぃ
myo	みょ
myu	みゅ
n!	ん!
n"	ん"
n#	ん#
n$	ん$
n%	ん%
n&	ん&
n'	ん
n(	ん(
n)	ん)
n,	ん,
n-	んー
n.	ん.
n/	ん/
n0	ん0
n1	ん1
n2	ん2
n3	ん3
n4	ん4
n5	ん5
n6	ん6
n7	ん7
n8	ん8
n9	ん9
n=	ん=
n?	ん?
n\	ん\
n^	ん^
n_	ん_
n[	ん「
n]	ん」
na	な
nb	ん	b
nc	ん	c
nd	ん	d
ne	ね
nf	ん	f
ng	ん	g
nh	ん	h
ni	に
nj	ん	j
nk	ん	k
nl	ん	l
nm	ん	m
nn	ん
no	の
np	ん	p
nq	ん	q
nr	ん	r
ns	ん	s
nt	ん	t
nu	ぬ
nv	ん	v
nw	ん	w
nx	ん	x
nya	にゃ
nye	にぇ
nyi	にぃ
nyo	にょ
nyu	にゅ
nz	ん	z
n|	ん|
n~	ん~
n+	ん+
n*	ん*
n{	ん{
n}	ん}
n<	ん<
n>	ん>
n	ん
o	お
pa	ぱ
pe	ぺ
pi	ぴ
po	ぽ
ppa	っぱ
ppe	っぺ
ppi	っぴ
ppo	っぽ
ppu	っぷ
ppya	っぴゃ
ppye	っぴぇ
ppyi	っぴぃ
ppyo	っぴょ
ppyu	っぴゅ
pu	ぷ
pya	ぴゃ
pye	ぴぇ
pyi	ぴぃ
pyo	ぴょ
pyu	ぴゅ
qa	くぁ
qe	くぇ
qi	くぃ
qo	くぉ
qqa	っくぁ
qqe	っくぇ
qqi	っくぃ
qqo	っくぉ
qqu	っく
qu	く
ra	ら
re	れ
ri	り
ro	ろ
rra	っら
rre	っれ
rri	っり
rro	っろ
rru	っる
rrya	っりゃ
rrye	っりぇ
rryi	っりぃ
rryo	っりょ
rryu	っりゅ
ru	る
rya	りゃ
rye	りぇ
